name,mt,Mat,Inns,Balls,Runs,Wkts,Ave,Econ,SR,4w,5w,10,capped
bhuvneshwar kumar,First-class,70,101,11,2433,128,42.75,1,14,314,8,18,1
bhuvneshwar kumar,List A,136,77,30,1010,72,,0,3,,,31,1
bhuvneshwar kumar,T20s,146,51,24,240,24,98.76,0,0,20,4,30,1
Ishant Sharma,First-class,132,234,24571,12557,426,29.47,3.06,57.6,18,13,2,1
Ishant Sharma,List A,123,120,5834,5154,178,28.95,5.3,32.7,10,1,0,1
Ishant Sharma,T20s,113,113,2437,3189,88,36.23,7.85,27.6,1,1,0,1
Ravichandran Ashwin,First-class,109,194,29317,13705,512,26.76,2.8,57.2,19,39,10,1
Ravichandran Ashwin,List A,167,165,9052,6992,226,30.93,4.63,40,1,0,0,1
Ravichandran Ashwin,T20s,210,207,4478,5112,210,24.34,6.84,21.3,4,0,0,1
Siddarth Kaul,First-class,58,101,11146,5564,205,27.14,2.99,54.3,9,12,0,1
Siddarth Kaul,List A,77,77,3815,3290,135,24.37,5.17,28.2,6,5,0,1
Siddarth Kaul,T20s,85,85,1839,2226,94,23.68,7.26,19.5,2,0,0,1
Zaheer Khan,First-class,169,,34279,18799,672,27.97,3.29,51,,35,8,1
Zaheer Khan,List A,253,,12745,10404,357,29.14,4.89,35.7,10,1,0,1
Zaheer Khan,T20s,138,137,3044,3802,139,27.35,7.49,21.8,2,0,0,1
Sreesanth,First-class,73,,13057,7554,211,35.8,3.47,61.8,9,6,0,1
Sreesanth,List A,86,,4108,3906,111,35.18,5.7,37,4,1,0,1
Sreesanth,T20s,60,59,1192,1639,50,32.78,8.25,23.8,0,0,0,1
Harbhajan Singh,First-class,198,,48055,22652,780,29.04,2.82,61.6,,41,8,1
Harbhajan Singh,List A,334,,17533,12698,393,32.31,4.34,44.6,5,4,0,1
Harbhajan Singh,T20s,251,239,5123,5744,219,26.22,6.72,23.3,3,1,0,1
RP Singh,First-class,94,,17192,9202,301,30.57,3.21,57.1,13,12,1,1
RP Singh,List A,136,,6378,5460,190,28.73,5.13,33.5,6,3,0,1
RP Singh,T20s,132,131,2903,3638,146,24.91,7.51,19.8,3,1,0,1
Mahipal Lomror      ,First-class,22,25,1638,878,27,32.51,3.21,60.6,1,1,0,0
Mahipal Lomror      ,List A,19,15,354,315,7,45,5.33,50.5,0,0,0,0
Mahipal Lomror      ,T20s,20,15,169,243,4,60.75,8.62,42.2,0,0,0,0
deepak chahar,First-class,44,73,7680,4343,124,35.02,3.39,61.9,7,4,1,1
deepak chahar,List A,27,27,1155,1004,42,23.9,5.21,27.5,0,1,0,1
deepak chahar,T20s,38,38,774,969,40,24.22,7.51,19.3,0,1,0,1
rahul chahar,First-class,10,19,1725,1008,38,26.52,3.5,45.3,2,4,0,0
rahul chahar,List A,20,20,1043,870,33,26.36,5,31.6,0,1,0,0
rahul chahar,T20s,7,6,138,160,8,20,6.95,17.2,0,0,0,0
ajit cahal,First-class,8,15,1044,619,32,19.34,3.55,32.6,0,3,0,1
ajit cahal,List A,4,4,162,126,2,63,4.66,81,0,0,0,1
ajit cahal,T20s,4,4,72,104,4,26,8.66,18,0,0,0,1
ashish hooda,First-class,44,74,6372,2979,113,26.36,2.8,56.3,4,4,0,0
ashish hooda,List A,18,17,660,541,19,28.47,4.91,34.7,0,0,0,0
ashish hooda,T20s,33,33,638,749,30,24.96,7.04,21.2,0,1,0,0
mohit sharma,First-class,44,76,6788,3119,127,24.55,2.75,53.4,4,7,0,1
mohit sharma,List A,62,61,2735,2273,66,34.43,4.98,41.4,2,0,0,1
mohit sharma,T20s,110,109,2192,3053,109,28,8.35,20.1,2,0,0,1
jayant yadav,First-class,57,86,8944,4864,145,33.54,3.26,61.6,6,6,1,0
jayant yadav,List A,46,44,2076,1367,44,31.06,3.95,47.1,0,0,0,0
jayant yadav,T20s,40,36,700,695,20,34.75,5.95,35,0,0,0,0
tinu kundu,First-class,4,7,799,317,24,13.2,2.38,33.2,1,2,1,0
ashok dinda,First-class,115,194,22866,11823,417,28.35,3.1,54.8,19,26,5,1
ashok dinda,List A,92,92,4686,4015,141,28.47,5.14,33.2,2,3,0,1
ashok dinda,T20s,133,130,2695,3441,132,26.06,7.66,20.4,3,0,0,1
mukesh kumar,First-class,12,22,2170,1045,48,21.77,2.88,45.2,3,2,0,0
mukesh kumar,List A,8,8,384,325,5,65,5.07,76.8,0,0,0,0
mukesh kumar,T20s,6,6,126,145,6,24.16,6.9,21,0,0,0,0
pradipta pramika,First-class,7,12,1275,614,25,24.56,2.88,51,2,0,0,0
pradipta pramika,List A,8,8,384,296,12,24.66,4.62,32,1,0,0,0
pradipta pramika,T20s,1,1,12,24,0,0,12,0,0,0,0,0
ishan porel,First-class,12,18,1909,906,32,28.31,2.84,59.6,2,2,0,0
ishan porel,List A,9,9,366,296,12,24.66,4.85,30.5,1,0,0,0
prayas ray barman,List A,9,9,341,253,11,23,4.45,31,1,0,0,0
shahbaz ahmed,First-class,2,3,180,80,2,40,2.66,90,0,0,0,0
shahbaz ahmed,List A,6,6,210,160,6,26.66,4.57,35,0,0,0,0
bandaru ayyappa,First-class,29,48,5175,2566,77,33.32,2.97,67.2,3,3,0,0
bandaru ayyappa,List A,31,31,1620,1337,43,31.09,4.95,37.6,1,0,0,0
bandaru ayyappa,T20s,26,26,557,667,31,21.51,7.18,17.9,0,0,0,0
karthik Raman,First-class,4,6,462,255,9,28.33,3.31,51.3,0,0,0,0
karthik Raman,List A,8,8,361,313,14,22.35,5.2,25.7,2,0,0,0
karthik Raman,T20s,3,1,12,23,0,0,11.5,0,0,0,0,0
karn sharma,First-class,69,107,10155,5381,188,28.62,3.17,54,8,10,1,0
karn sharma,List A,80,75,3805,3001,99,30.31,4.73,38.4,0,2,0,0
karn sharma,T20s,119,109,2027,2483,101,24.58,7.34,20,2,1,0,0
Paisikalva Vijaykumar,First-class,69,118,14608,5386,239,22.53,2.21,61.1,10,10,1,0
Paisikalva Vijaykumar,List A,28,28,1448,1034,34,30.41,4.28,42.5,1,0,0,0
Paisikalva Vijaykumar,T20s,18,18,342,466,10,46.6,8.17,34.2,0,0,0,0
Prithvi Raj,First-class,6,11,1036,512,21,24.38,2.96,49.3,1,0,0,0
Prithvi Raj,List A,1,1,60,65,2,32.5,6.5,30,0,0,0,0
